user_id,following
2166,"[34,32,41]"
2170,"[33,32,42,21,30,31,37,49,669]"
2171,[32]
2177,[38]
2178,[40]
2187,"[32,30,34]"
2189,"[2751,32,40,12812,19023,34,31,4231,13199,22670,21358]"
2191,[30]
2192,[21]
2197,"[32,34,40]"
2202,"[49,3316]"
2211,[30]
2213,[32]
2215,[34]
2217,[32]
2218,[30]
2219,"[2751,669,22670]"
2226,[34]
2231,"[145,669,12770,10657,34,3881]"
2232,[34]
2233,[33]
2234,[34]
2239,[34]
2242,[32]
2243,[34]
2244,[4231]
2245,[40]
2246,"[145,34,31,38]"
2248,[31]
2249,"[145,4231]"
2250,"[34,37]"
2254,"[30,34,31]"
2257,[32]
2262,[30]
2264,"[32,30]"
2266,[30]
2268,[30]
2269,[30]
2270,[30]
2271,[30]
2276,"[669,145,30]"
2278,[34]
2279,[41]
2280,[21]
2281,[41]
2282,[32]
2285,[34]
2286,[34]
2290,"[31,32]"
2291,[41]
2292,[30]
2294,"[34,669,145]"
2295,"[49,4298,2751,28863]"
2300,[34]
2301,[34]
2303,[34]
2307,[34]
2308,"[32,4217]"
2310,[34]
2312,[42]
2313,[34]
2317,[34]
2318,[34]
2320,[34]
2322,"[30,34]"
2324,"[21,24101]"
2326,[30]
2327,[32]
2328,[2751]
2332,[34]
2333,[34]
2334,[34]
2337,[34]
2339,[34]
2344,[22670]
2346,[34]
2348,"[21,34,31,145]"
2350,[34]
2354,[34]
2355,[34]
2356,[1974]
2359,[20995]
2362,"[21,8334,21489]"
2363,[19023]
2368,[34]
2370,[34]
2374,[32]
2379,"[21,30]"
2381,[34]
2387,"[34,32]"
2388,[32]
2389,[32]
2391,[34]
2394,[34]
2395,[36]
2400,"[21,34,32]"
2403,"[21358,22670]"
2407,"[21,36,38,3316,40,4155]"
2411,[34]
2414,[32]
2415,[34]
2420,[34]
2421,[669]
2422,"[34,19023,669]"
2423,[32]
2424,[21]
2429,[34]
2430,"[2751,38]"
2435,"[34,37]"
2437,"[21,34]"
2438,[4298]
2442,"[32,34]"
2443,[21]
2445,"[145,30]"
2446,"[669,5233,5255,5262,5271,5274,4129,21,2751]"
2448,[669]
2449,[21]
2450,[41]
2452,"[41,30]"
2457,"[34,4231]"
2460,[32]
2469,[3316]
2470,"[21,31]"
2476,[34]
2477,"[32,30,21]"
2482,[34]
2483,[31]
2490,[34]
2500,"[145,32]"
2504,[34]
2508,"[21,37,49]"
2509,[30]
2512,"[34,21]"
2513,[30]
2514,[36]
2515,[669]
2516,"[30,34,21,32,3316]"
2520,[2751]
2526,[32]
2527,[19023]
2529,[34]
2530,"[33,32]"
2531,"[12770,32,22670,2751,23932]"
2532,[30]
2533,[30]
2534,[32]
2537,[34]
2543,[21]
2544,"[33,34,669]"
2550,[32]
2552,[32]
2553,[669]
2556,[31]
2560,"[21031,19023,4298,20966,8334]"
2563,[21]
2565,[21]
2572,"[34,19023]"
2573,[669]
2577,[34]
2581,[34]
2582,[32]
2587,[34]
2593,[3316]
2594,"[34,37]"
2595,[32]
2598,[32]
2600,[32]
2603,"[669,34]"
2605,[32]
2607,[34]
2610,[32]
2612,[41]
2613,"[669,32]"
2614,[41]
2618,[49]
2625,[34]
2629,"[32,30]"
2631,"[41,21,40,145,42,33,36]"
2632,[34]
2636,[41]
2639,[34]
2641,[40]
2648,"[37,669]"
2650,[32]
2655,[41]
2656,"[32,30,34,37,41,49,21]"
2657,[669]
2662,[30]
2663,[32]
2664,"[19023,2751,22670]"
2666,[37]
2667,[32]
2668,"[34,30,32,22670]"
2669,"[32,34]"
2672,[669]
2673,[34]
2681,"[32,21031]"
2684,"[50,3316,46]"
2689,[32]
2692,[32]
2704,"[37,41,2751,8334,13199]"
2707,[21]
2713,[32]
2720,[30]
2725,[2751]
2726,[36]
2731,"[32,21]"
2735,[21]
2737,"[986,2203,32]"
2743,"[32,21]"
2746,[34]
2747,"[30,669,3316,21,19023]"
2748,[42]
2749,[3881]
2750,[30]
2752,[42]
2753,[34]
2755,[34]
2756,[34]
2757,[34]
2758,[34]
2767,[34]
2768,"[30,2977,32]"
2771,"[4129,21]"
2774,[32]
2777,[30]
2782,"[34,32]"
2788,[21]
2790,[32]
2791,[34]
2792,"[42,41]"
2798,[34]
2804,[34]
2807,"[30,32]"
2808,"[34,2751]"
2812,"[3,34]"
2814,"[34,2751]"
2818,[32]
2823,[32]
2826,[34]
2828,[21]
2834,[34]
2838,[30]
